2026年9月客服排班表																																																								
	日期	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30																									
职务	星期	二	三	四	五	六	日	一	二	三	四	五	六	日	一	二	三	四	五	六	日	一	二	三	四	五	六	日	一	二	三			剩余	年假	休息	早班	晚班	实到	应到	备注															
售前	韩欢欢		早	早	早	早	早		早	早	早	早	早	早		晚	晚	晚	晚	晚	晚		晚	晚	晚	晚	晚	晚			早			0	0	6	12	12	24	24																
	麦诺谦	晚	晚		晚	晚	晚	晚	晚		晚	晚	晚	晚	晚	晚			早	早	早	早	早		早	早	早	早	早	早	早			2天	1天3小时	5	12	13	25	24																
	叶炳辉	早	晚	晚				早	早	早	早	早	早		早	早	晚	晚	晚			早	早	早	晚	晚	晚		晚	晚	晚			-3小时	2天5小时=5天-3小时-1天-1天	7	12	11	23	24																
	徐佳楠	早			晚	晚	晚	晚	晚	晚				早	早	早	早	早		晚	晚	晚	晚	晚		早	早	早	早	早				4天=5天-1天	0	8	11	11	22	24																
	刘秀文		早	早	早	早	早	早		晚	晚	晚	晚	晚	晚		早	早	早	早	早	晚		早	早			晚	晚	晚	晚			3天4小时=2天4小时+1天	0	6	13	11	24	24																
																																				30	0	0	0	24																
		9月																														9月																								
售后	李守耀		早	早	早	早			早	早	早	早	早	早		早	早	早	早			早	早	早	早		早	早	早	早	早			0	4	7	23	0	23	24																
	缪婷婷	早		早	早	晚	晚	晚		早							晚	晚	晚		晚	晚	晚	晚		早	早	晚	晚		晚			-1天=3天3小时-1天-1天-1天-3小时-1天（下个月）	0=3天6.5小时-3天-1.5小时-5小时	11	6	13	19	24																
	柯紫婷	晚	晚	晚		早	早	早	晚		早	早			晚	晚	晚	晚		早	晚	晚		早	早	早	晚		晚	晚	晚			5天=4天+1天+1天	0	7	9	14	23	24																
	邓远祥	晚	晚		晚	晚	早	早	早	晚		晚	早	早	早	早			早	早	早		晚	晚	晚	晚		早	早	晚				1小时=3.5小时-2.5小时	3	7	12	11	23	24																
	陈燕玲	早	早	晚	晚			晚	晚	晚	晚		晚	晚	早	晚	早	早		晚	早	早	早		晚	晚	晚	年		早	早			1天3小时=3小时+1天	3	6	10	13	23	24																
																																																								
客服工作时间：售前(早8:00~16:30，晚15:45~23:45）；售后( 早8:00~16:30，晚14:00-22:30）																																																								
售前	早班	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	60	97%			本月休息天数：	7	6+1天中秋																	
	晚班	1	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	58	0			本月天数：	31																		
	休息	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5																								
																																																								
售后	早班	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	60	85%																						
	晚班	2	2	2	2	2	1	2	2	2	1	1	1	1	1	2	2	2	1	1	2	2	2	2	2	2	2	1	2	2	2	0	51	0																						
	休息	1	1	1	1	1	2	1	1	1	2	2	2	2	2	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	5																								
																																																								
	上班人数	7	8	7	8	8	7	8	8	8	7	7	7	7	7	8	8	8	7	7	8	8	8	8	8	8	8	7	8	8	8	0																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
